session_id	ts	article	choice	query	question
5bed507dec3b53a3	2017-08-04T00:00:45Z	Genius	no	what is a genius iq?	If someone searched for '...', would they want to read this article?
5bed507dec3b53a3	2017-08-04T00:00:54Z	Genius (website)	yes	what is a genius iq?	If someone searched for '...', would they want to read this article?
6380187f305c7cd1	2017-08-04T00:01:07Z	The Stars and Stripes Forever	timeout	star and stripes	If you searched for '...', would this article be a good result?
2ed5681385cf438a	2017-08-04T00:03:14Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
7aeb7da901767320	2017-08-04T00:04:36Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
9888a267585f9b40	2017-08-04T00:04:51Z	Item 47	timeout	10 items or fewer	Would you click on this page when searching for '...'?
d9e9694a4fd552f4	2017-08-04T00:04:52Z	Barney & Friends	yes	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
1f65449dfdc44250	2017-08-04T00:05:04Z	Item 47	timeout	10 items or fewer	If you searched for '...', would this article be a good result?
c5e9f99221279769	2017-08-04T00:05:48Z	List of V for Vendetta characters	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
b5d35e6f046cc3a3	2017-08-04T00:07:22Z	V (comics)	no	who is v for vendetta?	Would you click on this page when searching for '...'?
ccb3785f78d1139c	2017-08-04T00:10:43Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
560e0ac7d56a1b70	2017-08-04T00:11:58Z	Stripes (film)	timeout	star and stripes	If you searched for '...', would this article be a good result?
279387bcb5aee478	2017-08-04T00:13:24Z	The White Stripes	timeout	star and stripes	If you searched for '...', would this article be a good result?
b490259122121550	2017-08-04T00:13:27Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
b273ead9fed838d7	2017-08-04T00:15:49Z	High IQ society	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
ddbf7a4d693d3450	2017-08-04T00:16:41Z	Web search engine	timeout	search engine	If you searched for '...', would this article be relevant?
b40ab234495819e8	2017-08-04T00:19:05Z	Barney & Friends	yes	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
bef610c5a06e5e6a	2017-08-04T00:20:20Z	Flowers in the Attic	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
8d4a15221fa2bfef	2017-08-04T00:21:52Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
22570d6164b59108	2017-08-04T00:23:29Z	Tinker, Tailor	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
0dc7ac19b0b75e0d	2017-08-04T00:23:49Z	The Stars and Stripes Forever	timeout	star and stripes	If you searched for '...', would this article be a good result?
00f2d6439dc65790	2017-08-04T00:24:00Z	Genius	no	what is a genius iq?	If someone searched for '...', would they want to read this article?
9745a3bb1e9be8d5	2017-08-04T00:25:24Z	The Stars and Stripes Forever	yes	star and stripes	If someone searched for '...', would they want to read this article?
c03f3e7c580b9814	2017-08-04T00:25:30Z	Genius	yes	what is a genius iq?	Would you click on this page when searching for '...'?
23d01b5e7407d46f	2017-08-04T00:26:29Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
c40819a3d856c38c	2017-08-04T00:27:04Z	Item 47	no	10 items or fewer	If you searched for '...', would this article be relevant?
987ef6e9507e4dc3	2017-08-04T00:27:54Z	V for Vendetta (film)	yes	who is v for vendetta?	If someone searched for '...', would they want to read this article?
ac823a005a205f52	2017-08-04T00:28:40Z	Genius	yes	what is a genius iq?	If someone searched for '...', would they want to read this article?
56584544a4247257	2017-08-04T00:28:54Z	Web search engine	no	search engine	If you searched for '...', would this article be a good result?
7d642dc3db6a6302	2017-08-04T00:30:25Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
74294f84257492c6	2017-08-04T00:31:46Z	IQ classification	timeout	what is a genius iq?	If you searched for '...', would this article be a good result?
2e2a7f907a6f56b1	2017-08-04T00:32:24Z	Stripes (film)	timeout	star and stripes	If someone searched for '...', would they want to read this article?
c565f343a527e94d	2017-08-04T00:32:31Z	Goat	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
9d1355a5593e8191	2017-08-04T00:32:58Z	IQ classification	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
65aba2be500547af	2017-08-04T00:33:46Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
4eeb4dd8f406f6fa	2017-08-04T00:33:56Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
3c6f0b74c328ffcb	2017-08-04T00:34:38Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
165709d0dfb726f4	2017-08-04T00:35:20Z	IQ classification	timeout	what is a genius iq?	If you searched for '...', would this article be a good result?
